Año,Semana,Precio Gasolina,Precio Gasoleo
2007,Semana 17,1.046,0.945
2007,Semana 18,1.063,0.946
2007,Semana 19,1.075,0.95
2007,Semana 20,1.081,0.954
2007,Semana 21,1.092,0.959
2007,Semana 22,1.096,0.963
2007,Semana 23,1.091,0.954
2007,Semana 24,1.086,0.964
2007,Semana 25,1.092,0.97
2007,Semana 26,1.098,0.976
2007,Semana 27,1.098,0.977
2007,Semana 28,1.09,0.973
2007,Semana 29,1.093,0.98
2007,Semana 30,1.082,0.982
2007,Semana 31,1.071,0.978
2007,Semana 32,1.067,0.981
2007,Semana 33,1.054,0.963
2007,Semana 34,1.056,0.973
2007,Semana 35,1.052,0.969
2007,Semana 36,1.055,0.973
2007,Semana 37,1.063,0.984
2007,Semana 38,1.064,0.995
2007,Semana 39,1.066,1.003
2007,Semana 40,1.066,1.004
2007,Semana 41,1.055,0.994
2007,Semana 42,1.055,0.995
2007,Semana 43,1.065,1.008
2007,Semana 44,1.075,1.021
2007,Semana 45,1.083,1.03
2007,Semana 46,1.091,1.048
2007,Semana 47,1.092,1.051
2007,Semana 48,1.105,1.072
2007,Semana 49,1.109,1.081
2007,Semana 50,1.095,1.07
2007,Semana 51,1.095,1.064
2008,Semana 1,1.1045,1.073
2008,Semana 2,1.114,1.082
2008,Semana 3,1.112,1.068
2008,Semana 4,1.098,1.052
2008,Semana 5,1.094,1.049
2008,Semana 6,1.093,1.051
2008,Semana 7,1.099,1.063
2008,Semana 8,1.112,1.083
2008,Semana 9,1.128,1.103
2008,Semana 10,1.127,1.107
2008,Semana 11,1.12,1.135
2008,Semana 12,1.13,1.149
2008,Semana 13,1.1275,1.1385
2008,Semana 14,1.125,1.128
2008,Semana 15,1.123,1.126
2008,Semana 16,1.13,1.149
2008,Semana 17,1.143,1.169
2008,Semana 18,1.166,1.19
2008,Semana 19,1.173,1.198
2008,Semana 20,1.186,1.218
2008,Semana 21,1.205,1.269
2008,Semana 22,1.228,1.308
2008,Semana 23,1.233,1.3
2008,Semana 24,1.237,1.289
2008,Semana 25,1.251,1.296
2008,Semana 26,1.255,1.299
2008,Semana 27,1.26,1.305
2008,Semana 28,1.27,1.323
2008,Semana 29,1.276,1.329
2008,Semana 30,1.264,1.318
2008,Semana 31,1.234,1.288
2008,Semana 32,1.212,1.262
2008,Semana 33,1.196,1.217
2008,Semana 34,1.192,1.204
2008,Semana 35,1.189,1.194
2008,Semana 36,1.194,1.2
2008,Semana 37,1.185,1.192
2008,Semana 38,1.183,1.185
2008,Semana 39,1.161,1.162
2008,Semana 40,1.144,1.15
2008,Semana 41,1.14,1.155
2008,Semana 42,1.111,1.126
2008,Semana 43,1.057,1.07
2008,Semana 44,1.022,1.053
2008,Semana 45,0.99,1.016
2008,Semana 46,0.966,1.009
2008,Semana 47,0.944,0.997
2008,Semana 48,0.908,0.968
2008,Semana 49,0.901,0.949
2008,Semana 50,0.889,0.92
2008,Semana 51,0.86,0.889
2009,Semana 1,0.8425,0.8625
2009,Semana 2,0.825,0.836
2009,Semana 3,0.867,0.877
2009,Semana 4,0.881,0.881
2009,Semana 5,0.89,0.873
2009,Semana 6,0.901,0.873
2009,Semana 7,0.913,0.873
2009,Semana 8,0.921,0.867
2009,Semana 9,0.9,0.846
2009,Semana 10,0.895,0.845
2009,Semana 11,0.918,0.84
2009,Semana 12,0.906,0.831
2009,Semana 13,0.911,0.837
2009,Semana 14,0.939,0.856
2009,Semana 15,0.942,0.86
2009,Semana 16,0.9475,0.8645
2009,Semana 17,0.953,0.869
2009,Semana 18,0.956,0.867
2009,Semana 19,0.95,0.859
2009,Semana 20,0.969,0.868
